model,feature_engineering,tuned,best_params,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc
random_forest_fe,True,False,{},0.8962315674494812,0.7775284585964197,0.692,0.6048951048951049,0.6455223880597015,0.9232217620567135,0.7331897787351935
gradient_boosting_fe,True,False,{},0.898416166029492,0.7731244483671669,0.7100840336134454,0.5909090909090909,0.6450381679389313,0.9258990200737773,0.7295825217847678
baseline_logreg_no_fe,False,False,{},0.8541780447842708,0.8309638581483242,0.5217391304347826,0.7972027972027972,0.6307053941908713,0.894812954036255,0.6185089493501408
logreg_fe,True,False,{},0.85199344620426,0.8282447326136646,0.5170842824601367,0.7937062937062938,0.6262068965517241,0.8948785841989726,0.6172484222963844
hist_gradient_boosting_fe,True,False,{},0.892408519934462,0.7567429334419626,0.6926406926406926,0.5594405594405595,0.6189555125725339,0.9218412655305859,0.7204962773316002
extra_trees_fe,True,False,{},0.8814855270344074,0.7687905945187499,0.6245487364620939,0.6048951048951049,0.6145648312611013,0.9034286102247268,0.64490979066594
knn_fe,True,False,{},0.8754778809393774,0.6469866702876412,0.7377049180327869,0.3146853146853147,0.4411764705882353,0.8511575802837941,0.5740483862317939
random_forest_no_page_values,True,False,{},0.8367012561441836,0.5755720008147193,0.448,0.1958041958041958,0.2725060827250608,0.7808427818136556,0.3659264350353592
